_id,estId,estName,addrFull,srvType,insStatus,insDate,observation,infCategory,defDesc,infType,actionDesc,OutcomeDate,OutcomeDesc,fineAmount,geometry
11,9428843,ANTONIO'S A TOUCH OF MAGIC,57 UNDERHILL DR,Aesthetics,Pass,2024-11-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3256, 43.74547]]}"
12,9428843,ANTONIO'S A TOUCH OF MAGIC,57 UNDERHILL DR,Barbering & Hairdressing,Pass,2024-11-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3256, 43.74547]]}"
13,9428843,ANTONIO'S A TOUCH OF MAGIC,57 UNDERHILL DR,Nails,Pass,2024-11-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3256, 43.74547]]}"
14,9428845,KINGSWAY RETIREMENT HAIR SALON,4251 DUNDAS ST W,Aesthetics,Pass,2023-11-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.51445, 43.65888]]}"
15,9428845,KINGSWAY RETIREMENT HAIR SALON,4251 DUNDAS ST W,Barbering & Hairdressing,Pass,2023-11-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.51445, 43.65888]]}"
16,9428845,KINGSWAY RETIREMENT HAIR SALON,4251 DUNDAS ST W,Nails,Pass,2023-11-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.51445, 43.65888]]}"
17,9428871,FIRST IMPRESSION HAIR STUDIO,746 DUFFERIN ST,Barbering & Hairdressing,Pass,2024-01-19,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43299, 43.65309]]}"
18,9428893,EDA'S HAIR SALON,"3785 KINGSTON RD, UNIT-2B",Barbering & Hairdressing,Pass,2024-10-31,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.20745, 43.74758]]}"
19,9428913,NAIL GALLERY,"235 DIXON RD, UNIT-4A",Aesthetics,Pass,2024-11-01,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.54392, 43.69669]]}"
20,9428913,NAIL GALLERY,"235 DIXON RD, UNIT-4A",Aesthetics,Pass,2023-12-04,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.54392, 43.69669]]}"
21,9428913,NAIL GALLERY,"235 DIXON RD, UNIT-4A",Nails,Pass,2024-11-01,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.54392, 43.69669]]}"
22,9428913,NAIL GALLERY,"235 DIXON RD, UNIT-4A",Nails,Pass,2023-12-04,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.54392, 43.69669]]}"
23,9428922,ALA BEAUTY SALON,748 ANNETTE ST,Barbering & Hairdressing,Pass,2023-10-11,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.48701, 43.65875]]}"
24,10352415,SALON 3000,2706 DANFORTH AVE,Aesthetics,Pass,2024-07-26,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.29846, 43.68913]]}"
25,10352415,SALON 3000,2706 DANFORTH AVE,Barbering & Hairdressing,Pass,2024-07-26,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.29846, 43.68913]]}"
26,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Pass,2024-10-10,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
27,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Pass,2024-08-23,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
28,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Conditional Pass,2024-08-21,None,09 - Additional Record Requirements,Fail to keep accidental exposure records of personal service setting as required. Reg. Para. 4 of subsec. 14 (1),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
29,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Pass,2024-07-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
30,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Pass,2023-10-17,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
31,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Pass,2023-09-01,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
32,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Closed,2023-08-31,One or more crucial infractions were observed under the Bodysafe Premises Regulation that present an immediate health hazard that cannot be corrected during an inspection.,05 - Single-Use Equipment & Instruments,Personal service setting - single-use equipment not discarded immediately after use. Reg. Subsec. 10 (5),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
33,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Closed,2023-08-31,One or more crucial infractions were observed under the Bodysafe Premises Regulation that present an immediate health hazard that cannot be corrected during an inspection.,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
34,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Closed,2023-08-31,One or more crucial infractions were observed under the Bodysafe Premises Regulation that present an immediate health hazard that cannot be corrected during an inspection.,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
35,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Closed,2023-08-31,One or more crucial infractions were observed under the Bodysafe Premises Regulation that present an immediate health hazard that cannot be corrected during an inspection.,10 - Health Hazard and Sanitary Operation,Fail to ensure personal service setting free from condition that may adversely affect sanitary operation. Reg. Para. 1 of subsec. 8 (1),C - Crucial,Verbal Order,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
36,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Closed,2023-08-31,One or more crucial infractions were observed under the Bodysafe Premises Regulation that present an immediate health hazard that cannot be corrected during an inspection.,09 - Additional Record Requirements,Fail to keep accidental exposure records of personal service setting as required. Reg. Para. 4 of subsec. 14 (1),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
37,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Aesthetics,Pass,2023-08-03,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
38,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Pass,2024-10-10,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
39,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Pass,2024-08-23,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
40,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Conditional Pass,2024-08-21,None,09 - Additional Record Requirements,Fail to keep accidental exposure records of personal service setting as required. Reg. Para. 4 of subsec. 14 (1),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
41,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Pass,2024-07-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
42,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Pass,2023-10-17,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
43,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Pass,2023-09-01,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
44,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Closed,2023-08-31,One or more crucial infractions were observed under the Bodysafe Premises Regulation that present an immediate health hazard that cannot be corrected during an inspection.,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
45,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Closed,2023-08-31,One or more crucial infractions were observed under the Bodysafe Premises Regulation that present an immediate health hazard that cannot be corrected during an inspection.,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Reusable equipment not cleaned and disinfected or sterilized between each use. Reg. Clause 10 (4)(a),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
46,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Closed,2023-08-31,One or more crucial infractions were observed under the Bodysafe Premises Regulation that present an immediate health hazard that cannot be corrected during an inspection.,10 - Health Hazard and Sanitary Operation,Fail to ensure personal service setting free from condition that may adversely affect sanitary operation. Reg. Para. 1 of subsec. 8 (1),C - Crucial,Verbal Order,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
47,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Pass,2023-08-08,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
48,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Conditional Pass,2023-08-03,None,05 - Single-Use Equipment & Instruments,Personal service setting - single-use equipment not discarded immediately after use. Reg. Subsec. 10 (5),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
49,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Conditional Pass,2023-08-03,None,05 - Single-Use Equipment & Instruments,Personal service setting - single-use equipment not discarded immediately after use. Reg. Subsec. 10 (5),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
50,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Conditional Pass,2023-08-03,None,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Personal service setting - use equipment not maintained in sanitary condition. Reg. Clause 10 (1)(a),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
51,10353384,QS NAILS & SPA INC.,"75 RYLANDER BLVD, UNIT-3-1A",Nails,Conditional Pass,2023-08-03,None,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Reusable equipment not disinfected as often as necessary to prevent disease transmission. Reg. Subsec. 10 (4),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.15165, 43.79792]]}"
52,10353922,CLEOPATRA FIVE STAR,1040 PAPE AVE,Aesthetics,Pass,2023-08-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.34924, 43.68979]]}"
53,10353922,CLEOPATRA FIVE STAR,1040 PAPE AVE,Barbering & Hairdressing,Pass,2023-08-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.34924, 43.68979]]}"
54,10353922,CLEOPATRA FIVE STAR,1040 PAPE AVE,Nails,Pass,2023-08-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.34924, 43.68979]]}"
55,10354275,ORIENT RETREAT,"3390 MIDLAND AVE, UNIT-16",Aesthetics,Pass,2023-12-01,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.29067, 43.80995]]}"
56,10354380,THE SPA AT DUNFIELD,77 DUNFIELD AVE,Aesthetics,Pass,2024-11-18,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39494, 43.70678]]}"
57,10354380,THE SPA AT DUNFIELD,77 DUNFIELD AVE,Nails,Pass,2024-11-18,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39494, 43.70678]]}"
58,10355779,CUT KINGS BARBER SHOP,"4455 SHEPPARD AVE E, FLR-2 UNIT-202",Barbering & Hairdressing,Pass,2023-06-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.26671, 43.7875]]}"
59,10349820,NEW TREND HAIR DESIGN,401 DUNDAS ST W,Barbering & Hairdressing,Pass,2023-06-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.39443, 43.65314]]}"
60,10350601,CUTE CUTICLES NAILS & SPA,3335 BATHURST ST,Aesthetics,Pass,2024-08-27,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43096, 43.72573]]}"
61,10350601,CUTE CUTICLES NAILS & SPA,3335 BATHURST ST,Nails,Pass,2024-08-27,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43096, 43.72573]]}"
62,10356051,ALBAIR HAIR PLUS,"2721 JANE ST, UNIT-8",Aesthetics,Pass,2024-03-06,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.51326, 43.74069]]}"
63,10356051,ALBAIR HAIR PLUS,"2721 JANE ST, UNIT-8",Barbering & Hairdressing,Pass,2024-03-06,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.51326, 43.74069]]}"
64,10356051,ALBAIR HAIR PLUS,"2721 JANE ST, UNIT-8",Nails,Pass,2024-03-06,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.51326, 43.74069]]}"
65,10357166,TONYC SALON & SPA,"1800 SHEPPARD AVE E, UNIT-243",Aesthetics,Pass,2024-07-25,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3445, 43.77775]]}"
66,10357166,TONYC SALON & SPA,"1800 SHEPPARD AVE E, UNIT-243",Aesthetics,Pass,2023-06-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3445, 43.77775]]}"
67,10357166,TONYC SALON & SPA,"1800 SHEPPARD AVE E, UNIT-243",Barbering & Hairdressing,Pass,2024-07-25,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3445, 43.77775]]}"
68,10357166,TONYC SALON & SPA,"1800 SHEPPARD AVE E, UNIT-243",Barbering & Hairdressing,Pass,2023-06-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3445, 43.77775]]}"
69,10357166,TONYC SALON & SPA,"1800 SHEPPARD AVE E, UNIT-243",Ear Piercing,Pass,2024-07-25,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3445, 43.77775]]}"
70,10357166,TONYC SALON & SPA,"1800 SHEPPARD AVE E, UNIT-243",Ear Piercing,Pass,2023-06-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3445, 43.77775]]}"
71,10357166,TONYC SALON & SPA,"1800 SHEPPARD AVE E, UNIT-243",Micropigmentation/Microblading,Pass,2023-06-28,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3445, 43.77775]]}"
72,10357166,TONYC SALON & SPA,"1800 SHEPPARD AVE E, UNIT-243",Nails,Pass,2024-07-25,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3445, 43.77775]]}"
73,10357166,TONYC SALON & SPA,"1800 SHEPPARD AVE E, UNIT-243",Nails,Pass,2023-06-15,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.3445, 43.77775]]}"
74,10439143,RACHEL'S NAIL ART,1547 STEELES AVE E,Aesthetics,Pass,2024-10-25,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38437, 43.80562]]}"
75,10439143,RACHEL'S NAIL ART,1547 STEELES AVE E,Nails,Pass,2024-10-25,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38437, 43.80562]]}"
76,10438259,FOREVER YOUNG,2121 KINGSTON RD,Barbering & Hairdressing,Pass,2024-10-23,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.25411, 43.70067]]}"
77,10438289,MOMIJI HAIRDRESSING SALON,3555 KINGSTON RD,Barbering & Hairdressing,Pass,2024-10-25,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.21533, 43.73937]]}"
78,10438598,SUSAN NAIL & SPA,"27 REAN DR, UNIT-5",Aesthetics,Pass,2024-07-08,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38255, 43.76759]]}"
79,10438598,SUSAN NAIL & SPA,"27 REAN DR, UNIT-5",Aesthetics,Conditional Pass,2024-07-05,None,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Reusable equipment not disinfected as often as necessary to prevent disease transmission. Reg. Subsec. 10 (4),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38255, 43.76759]]}"
80,10438598,SUSAN NAIL & SPA,"27 REAN DR, UNIT-5",Nails,Pass,2024-07-08,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38255, 43.76759]]}"
81,10438598,SUSAN NAIL & SPA,"27 REAN DR, UNIT-5",Nails,Conditional Pass,2024-07-05,None,05 - Single-Use Equipment & Instruments,Personal service setting - single-use equipment not discarded immediately after use. Reg. Subsec. 10 (5),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38255, 43.76759]]}"
82,10438598,SUSAN NAIL & SPA,"27 REAN DR, UNIT-5",Nails,Conditional Pass,2024-07-05,None,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Reusable equipment not disinfected as often as necessary to prevent disease transmission. Reg. Subsec. 10 (4),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.38255, 43.76759]]}"
83,10439229,BLACK & WHITE BARBERS,369 DAVENPORT RD,Barbering & Hairdressing,Pass,2024-05-10,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.40254, 43.67557]]}"
84,10439808,HAIR SALON AT BAYCREST LTC and CCC,3560 BATHURST ST,Barbering & Hairdressing,Pass,2024-07-16,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43415, 43.73006]]}"
85,10439808,HAIR SALON AT BAYCREST LTC and CCC,3560 BATHURST ST,Barbering & Hairdressing,Pass,2023-11-10,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43415, 43.73006]]}"
86,10439808,HAIR SALON AT BAYCREST LTC and CCC,3560 BATHURST ST,Nails,Pass,2024-07-18,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43415, 43.73006]]}"
87,10439808,HAIR SALON AT BAYCREST LTC and CCC,3560 BATHURST ST,Nails,Conditional Pass,2024-07-16,None,04 - Reprocessing and Maintenance of Reusable Equipment/Instruments,Reusable equipment not disinfected as often as necessary to prevent disease transmission. Reg. Subsec. 10 (4),C - Crucial,Notice to Comply,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43415, 43.73006]]}"
88,10439808,HAIR SALON AT BAYCREST LTC and CCC,3560 BATHURST ST,Nails,Pass,2023-11-10,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.43415, 43.73006]]}"
89,10442508,LISA BEAUTY CLINIC,3220 WESTON RD,Micropigmentation/Microblading,Pass,2024-09-25,No infractions were observed under the Bodysafe Premises Regulation during an inspection.,None,None,None,None,,None,,"{""type"": ""MultiPoint"", ""coordinates"": [[-79.53967, 43.73867]]}"
